Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
91.05,4.23354333270242,98593.5138758842,225824.897151618,Toluene,98.4516573750116,V9.10_ac.zm2_01192021_mature,V9.10_ac.zm2_01192021_mature.D
91,4.23368573669845,4140.67232721551,8352.53635139213,Toluene,86.8649333732268,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
91,4.23378308646153,4247.49752894359,8888.07455974511,Toluene,79.9533185686988,V9.3_ex.ft3_01182021_mature,V9.3_ex.ft3_01182021_mature.D
91,4.23380784914308,15617.6626267331,35131.3260581841,Toluene,94.1614067277034,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
91,4.23386004130159,84310.9097002622,196841.387179552,Toluene,98.3644167480474,V12.1_ex.ta3_01262021_mature,V12.1_ex.ta3_01262021_mature.D
85.92,4.23459787914186,67163.8739049683,21426.1871423146,Tolycaine,60.8908460354841,V13.2_dc.si2_01272021_mature,V13.2_dc.si2_01272021_mature.D
91,4.23469774839408,15274.6379190244,33453.7450092228,Toluene,93.6167172691689,V9.11_cx.zm4_01192021_mature,V9.11_cx.zm4_01192021_mature.D
91,4.2349690583969,1748.39238117906,3913.83273790964,Toluene,80.8847454217726,V8.1_bx.ts3_01052021_young,V8.1_bx.ts3_01052021_young.D
91.04,4.23544270494865,60408.3811185309,140400.933996085,Toluene,98.6997419547153,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
91,4.23621903679872,35314.1975201632,81391.8150375956,Toluene,97.9460821921822,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
90.99,4.23629492292853,3369.08471189915,7331.8574788585,Toluene,88.3735079346978,V6.3_dc.ac1_12312020_young,V6.3_dc.ac1_12312020_young.D
91,4.23670831629679,1640.8935593136,8185.22277503161,"Bicyclo[3.2.0]hepta-2,6-diene",86.3090755363081,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
91,4.23677144697209,6771.84525271154,15899.3350732351,Toluene,92.3672619006579,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
91,4.23692287339431,4871.61897942563,11208.8032194917,Toluene,90.075883992463,V7.2_bc.aa2_01042021_young,V7.2_bc.aa2_01042021_young.D
90.99,4.23698235984183,1485.47657297325,24356.2099874345,Toluene,71.6110418253364,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
90.98,4.23906751006771,1640.8935593136,2753.83812679428,Toluene,81.0133090889288,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
91,4.2393123330171,1602.2558086409,826.619345974155,Toluene,66.0955172503161,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
